Vehicle description,Powerplant type,Cost to insure,Exterior colour,Interior colour,Body type,Transmission,Engine,Registration plate,Registration expiry,Roadworthy certificate,Last Modified,carsales Network ID,Odometer,Fuel,Model date,Seller description,Image URLs,Price,Seat Style,Seat Adjustment,Headrest Cavallino Logo,Seat Contrast Stitching,Seat Piping,Body Colour,Paint Finish,Front Grille,Rear Grille,Scuderia Shields,Side Skirts Finish,Wheel Type,Brake Caliper Colour,Dashboard & Console Trim,Carpet Colour,Leather Rear Shelf (Coupe only),Leather Roll Bar Hoops (Spider only),Leather Luggage Straps (Coupe only),Fire Extinguisher,Hi-Fi Stereo,6-CD Changer,Subwoofer,Satellite Navigation (Becker),Dedication Plate,Leather Door Sills,Leather Headliner,Coloured Upper Dashboard,Coloured Steering Wheel,Special Stitching Colour,Transmission,Suspension Package,Exhaust System,Spider Soft Top Colour (Spider only),Tonneau Cover Finish (Spider only),Luggage Set,Spare Wheel Kit,Battery Charger Pre-Wiring Kit
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Rosso Corsa,Beige,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,December 2024,Provided at pick-up by seller,31 May 2025,SSE-AD-17731800,"53,230km",Petrol,2001,"I searched for 12 months and inspected several examples before finding this car. Itâs finished in beautiful Rosso Corsa with beige trim, the most popular choice for any Ferrari. 

This Ferrari has been meticulously maintained and regularly serviced, with all required log book services and even preventative maintenance carried out, ensuring it stays in top condition for years to come. 

Recent cam belt change.
Recent F1 Clutch
All sticky buttons and plastics have been replaced or refurbished. 
Full service history (available on request) 
Car comes with Tubi stainless steel exhaust with remote opening valves and also stock exhaust if you want it original. 
New $8,000.00 genuine Ferrari roof fitted less than 12 months ago. 
Michelin Pilot Super sport tyres
Factory fitted CD stacker and alarm options. 

This 2001 Ferrari 360 has a strong 294.0kW 3.6 litre engine!. Dynamic, reaching speeds of 100km/h in 4.5 seconds!. 

Safety features include:
- Driver airbag
- Passenger airbag


EXCITING FEATURES
This car has climate control air conditioning. This Unique Ferrari 360 Convertible has ventilated drilled/grooved rear disc brakes. It has ventilated drilled/grooved front disc brakes. It has limited slip diff (LSD). In addition to all the foregoing it has power steering, 18"" alloy wheels, 4 pot rear brake calipers, 4 pot front brake calipers, power door mirrors, leather steering wheel and front power windows.","['https://carsales.pxcrush.net/carsales/cars/private/arhzgckoljgrw4ttwthfi5ctq.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/69b61kh5437ab87yk4vhdpym5.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/6rnkgu4h537ephu4uuzl39jxc.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/5yvm7n3xoxgpep64bnjlnnebm.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$8,000",Unknown,Unknown,Unknown,Unknown,Unknown,Rosso Corsa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,F1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena F1 Coupe 2dr Seq. Mac 6sp 3.6i [IMP],Internal Combustion Engine (ICE),Not found,Red,Black,Coupe,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,6 months/December 2025,Provided at pick-up by seller,3 Jun 2025,SSE-AD-18779158,"32,000km",Petrol,1999,"Only travelled 32000 km. Built with a 3.6 litre engine and 294.0kW of power!. Dynamic, reaching speeds of 100km/h in 4.5 seconds!. 

Protect you and your family with these features:
2 airbags to give you added protection. It has passenger airbag, ABS brakes and driver airbag. 

FEATURES THE WHOLE FAMILY WILL LOVE:
- 18"" alloy wheels
- Climate control air conditioning
- Ventilated drilled/grooved rear disc brakes
- Leather steering wheel
- Power door mirrors
- Front power windows
- Ventilated drilled/grooved front disc brakes
- Front & rear power windows
- Power steering
- 4 pot front brake calipers
- 4 pot rear brake calipers
- Limited slip diff (LSD)","['https://carsales.pxcrush.net/carsales/cars/private/221am2r1dt76dr5hdwl7w1adk.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/6sgxcomky1bdj1tmpch1aucas.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/8z43pjrqkfp5064jzalt4r5xt.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$155,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Rosso Corsa,tan,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,August 2024,Provided at pick-up by seller,6 May 2025,SSE-AD-17473799,"38,557km",Petrol,2002,"It has a strong 294.0kW 3.6 litre engine!. Dynamic, reaching speeds of 100km/h in 4.5 seconds!. This car is Australian delivery and is not sticky.

This car isn't just about luxury and comfort, check out these safety features:
It has 2 airbags fitted for your protection. This Unique Ferrari 360 2002 has driver airbag, passenger airbag and ABS brakes. 

EXCITING FEATURES
- Ventilated drilled/grooved front disc brakes
- Leather steering wheel
- Power door mirrors
- Climate control air conditioning
- Front power windows
- Limited slip diff (LSD)
- 4 pot rear brake calipers
- Ventilated drilled/grooved rear disc brakes
- Power steering
- 4 pot front brake 
Absolutely must be the best available.stunning well kept low klm car.current owner of 9 years just after a concourse winner from previous enthusiast. .NEW CLUTCH AND BELTS Serviced every year ,you wonât find better.
Looking to upgrade to new model before I turn 80 . Never race to my knowledge.","['https://carsales.pxcrush.net/carsales/cars/private/avfxzjw87wcdwtqxfowaragp2.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/9rujmuo3o9htl4a7kq6m5aiv1.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/e7al0afc1wuwh0z602ret7qxb.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/3ku9qvm1cllb92khcnt5y9q20.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$185,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider Convertible 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Rosso Corsa,Tan,Convertible,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,No,21 May 2025,SSE-AD-18150264,"63,462km",Petrol,2001,"Own the Dream â Australian-Delivered Factory Gated Manual Ferrari 360 Spider

For those who have always dreamed of owning a Ferrari, this is your opportunity to step into a world of unparalleled style, performance, and heritage. This Australian-delivered, factory gated manual 2001 Ferrari 360 Spider represents the pinnacle of pure, analogue driving pleasureâan experience thatâs becoming increasingly rare and sought after.

The Perfect First Ferrari

Imagine your first Ferrari being not just any model, but a 360 Spider in Rosso Corsa over Tanâthe quintessential Ferrari colours. This car embodies the passion and precision Ferrari is renowned for, paired with the visceral thrill of a gated manual gearbox. Every shift connects you to the road, the car, and the legend of Ferrari itself.

Key Highlights:

â¢	Factory Gated Manual: The ultimate puristâs choice, delivering a truly engaging and unforgettable driving experience.
â¢	Australian Delivered: Original Sydney delivery in 2001, with provenance that speaks to its rarity and desirability.
â¢	Timeless Beauty: Flawless Rosso Corsa paint, complemented by a Tan leather interior that extends to the carpets, creating a classic and luxurious aesthetic.

A Ferrari Maintained for Enthusiasts

Lovingly cared for by a Ferrari Club Australia member, this car has been kept in stunning condition, both mechanically and cosmetically. With a logbook history, folder of maintenance receipts, and original accessories including all books, original leather pouch with original Ferrari Maglite, original Ferrari radio, Full toolkit (unused) and original Ferrari Battery charger in itâs leather case. It offers peace of mind and pride of ownership from day one.

Recent Maintenance Highlights:

This Ferrari is turn-key ready for its next adventure, with recent works including:
â¢	New cam belts and tensioners (Hill Engineering)
â¢	Overhauled A/C system with a new compressor
â¢	New front tyres (original-spec Pirelli to match rear)
â¢	Sticky buttons rectified
â¢	Full paint correction and ceramic coating
â¢	Immobilizer system reprogrammed with all 3 fobs including red master
â¢	Ball joints, tie rod assemblies and track rods replaced
â¢	Full VRS kit Replaced 
â¢	New Lithium Battery

Why This Ferrari is for You

Owning a Ferrari is more than owning a carâitâs a statement, a milestone, and a dream fulfilled. This Australian-delivered 360 Spider with its factory manual transmission is your perfect entry point. Itâs not just a car for collectors or enthusiastsâitâs a car for anyone ready to take the leap into Ferrari ownership.

Whether youâve been saving for your first (or second) Ferrari or have always aspired to own one, this is your chance to secure a rare and exceptional piece of automotive history.

Available for viewing in Brisbane, QLD. Serious inquiries onlyâdonât let this opportunity slip away. Contact me today and take the first step toward making your Ferrari dream a reality.
","['https://carsales.pxcrush.net/carsales/cars/private/r295i83vz80dpqzvm5vus5vg.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/antve7l4n40e42fqj0ywzkat3.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/57nruegp3buhmlf9ybyqnwh94.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/4ttbzbt27ly1h642f03y5yzg5.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$205,000",Unknown,Unknown,Unknown,Unknown,Unknown,Rosso Corsa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider Convertible 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Silver,Beige,Convertible,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,November 2024,Provided at pick-up by seller,6 May 2025,SSE-AD-17319619,"71,000km",Petrol,2004,"Showroom condition. 

Immaculate rare example of the last manual Ferrari ever made. Original colour Grigio Alloy with Beige interior. 


I purchased this car from a collector (2nd owner) and have kept it immaculate since. Hardly driven. 

I purchased this car to keep it forever, however unfortunately due to a new house purchase it is unable to make it down the driveway due to the angle and unfortunately I have no choice but to let it go.

Additions include button to open exhaust values on demand and Grigio Alloy LED lights in the engine bay which look spectacular at night. 

Professional inspections welcome. Price reduced by $60,000 and only to increase in value. 

Full history and logs. First serious buyer to see will buy. 




","['https://carsales.pxcrush.net/carsales/cars/private/cplillzew1ktd1g3bt6x5tjqc.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/ehbbxatjswp9sgyi8ay9621ov.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/50jzb09v1mk57i9t3xxd22nub.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/7f0zqaa1f12sn3druhhoeajcv.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$60,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena F1 Coupe 2dr Seq. Mac 6sp 3.6i [IMP],Internal Combustion Engine (ICE),Not found,Blue,Tan,Coupe,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Provided at pick-up by seller,22 May 2025,SSE-AD-18100170,"67,322km",Petrol,2001,"Very rare special order colour Blu Mirabeau and some nice options like Challenge Stradale wheels and rear grill plus sports exhaust.
Good service history and recently had all injectors replaced, all new ball joints done 2000km ago.
67322 km on the clock. Get off the mark from 0-100km/h in 4.5 seconds!. 

Safety features include:
Keep yourself at a safe distance with ABS brakes. 2 airbags to give you added safety. Last but not least this 2001 ferrari 360 modena f1 auto has driver airbag and passenger airbag. 

MORE FEATURES:
This 2001 Ferrari 360 Modena F1 Auto has 19"" alloy wheels, leather steering wheel and limited slip diff (LSD). It has climate control air conditioning. This car has ventilated drilled/grooved rear disc brakes. In addition to all the foregoing it has power steering, power door mirrors, front power windows, 4 pot rear brake calipers and ventilated drilled/grooved front disc brakes.","['https://carsales.pxcrush.net/carsales/cars/private/6vxgkmtavu8ai39r73uberijg.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/7zmwlsi460zrt6u3awz5wlj8i.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/1158ywty176dz7530s6d0kahh.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/7cs8eqcaddqpswaotepw2v65d.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$139,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena F1 Coupe 2dr Seq. Mac 6sp 3.6i [IMP],Internal Combustion Engine (ICE),Not found,Grigio,Blue,Coupe,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",1ICP051,1 month/July 2025,Not found,Not found,Not found,"30,714km",Petrol,2000,"VIEWING IS BY APPOINTMENTS ONLY PLEASE.

Ready to experience the thrill of owning a piece of automotive history? This sleek and powerful Ferrari 360 Modena F1 Coupe is the ultimate dream car for any enthusiast. With a stunning Grigio TITANIO 3238 (TITANIUM) exterior and luxurious blue interior, this 2000 model is sure to turn heads wherever you go.

Equipped with a range of premium features including 18"" alloy wheels, climate control air conditioning, and leather trim seats, this coupe is a true statement of style and performance. The 3.6i engine paired with a sequential MAC 6-speed gearbox ensures an exhilarating driving experience every time you hit the road.

Whether you're cruising through the city streets or hitting the open road, this Ferrari 360 Modena is guaranteed to deliver top-notch performance and unmatched luxury. Don't miss your chance to own this iconic Italian supercar - priced at $184,888.00 AUD, this beauty won't last long.

Experience the thrill of driving a Ferrari - contact us today to schedule a test drive and make your automotive dreams a reality.",[],"$184,888",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider Convertible 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Grigio,Not found,Convertible,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Not found,Not found,Not found,"38,669km",Petrol,2002,"This 360 Spider was made in April 2002 and imported here in 2012. With full Ferrari specialist service from new and only 38,669 klms recorded.

Finished in Grigio Titanium with a cream leather interior and blue soft top, this 360 is in beautiful condition with all books, wallets, tools and a Ferrari car cover.

Around 7,500 Spiders were manufactured and at a weight of only 1430 kg , owing to the aluminium frame and body, a first for Ferrari.  

The performance from the 3.6 litre engine is very responsive , with the 6 speed gated manual gearbox as this car is equipped, and  the Spider versions were over 100kg lighter than their coupe counterparts.

This Spider with it's unusual and elegant colour scheme option is sure to appeal.","['https://carsales.pxcrush.net/carsales/cars/dealer/dicsfblty6h0cibo2bc4eh3bs.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/dealer/73baa3r7pgdnx8ky5ptumlxsv.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/dr5h6l2sikod7u5hsui1flea5.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/dealer/9nq2lh516nqdw2pjmnukddmze.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$169,500",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Red,Biegh,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,6 months/December 2025,Provided at pick-up by seller,27 May 2025,SSE-AD-18640728,"25,355km",Petrol,2004,Sale with out numberplate 145000 with rec long reg  CALL MY NUMBER 0433568398,"['https://carsales.pxcrush.net/carsales/cars/private/649wj5hpk3qiwj6ftfy2c0s2z.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/4sma5yzabmiavlm9j5v3n5zyp.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/ett5vle66uptcb7lajgdrnhb6.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/50fweocggcaxwrfeyo86qrs5b.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$145,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena Coupe 2dr Man 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Argento Nurburgring,Burgundy,Coupe,Manual,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,3 months/September 2025,Provided at pick-up by seller,2 Jun 2025,SSE-AD-18101150,"37,900km",Petrol,2001,"Immaculate and original Australian delivered manual Ferrari 360 purchased  in Sydney in 2001 .
Elderly owner needs  to dispose of this unique vehicle which has nil damage history and has   been serviced annually .
Burgundy leather, full  books and original tool bag . 
Low mileage Australian delivered manuals  are rare quite rare in this low volume model. 
Nsw 360FER plates are included . 
Urgent Sale at $229,990. 
Phone owner on 0408 240 088 . 
Any inspection welcome .","['https://carsales.pxcrush.net/carsales/cars/private/a91i1554t707ma6bu68pf53b1.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/7xzhqdvy3cpldfx602qnv0db0.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/c7svt9zep2qjia32ohso0wyrb.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/9tv4jim5mlblq774oaweob5ie.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$229,990",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manual,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena F1 Coupe 2dr Seq. Mac 6sp 3.6i [IMP],Internal Combustion Engine (ICE),Not found,Silver,Beige,Coupe,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",1HYC011,June 2025,Provided at pick-up by seller,27 Apr 2025,SSE-AD-18641850,"77,000km",Petrol,2000,"Only travelled 77000 km. This 2000 Ferrari 360 has a 3.6 litre engine and 294.0kW of power!. Accelerates from 0-100 km/h in 4.5 seconds!. 

Some safety features include:
- Driver airbag
- Passenger airbag


SPECIAL FEATURES:
- Leather steering wheel
- Limited slip diff (LSD)
- Power steering
- Climate control air conditioning
- Power door mirrors
- 4 pot rear brake calipers
- 18"" alloy wheels
- Ventilated drilled/grooved front disc brakes
- Ventilated drilled/grooved rear disc brakes
- Front power windows

Personal import from Hong Kong","['https://carsales.pxcrush.net/carsales/cars/private/aze9int6863navmn0qlvi2h1o.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/8574jgrb3aijrkt8k5u0kcek9.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/2qui5ujijqf0c6rladcww1y65.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/558r0nch59hhs6ceb85nfdpdz.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$145,000",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Modena F1 Coupe 2dr Seq. Mac 6sp 3.6i [IMP],Internal Combustion Engine (ICE),Not found,Yellow,Black,Coupe,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Provided at pick-up by seller,14 May 2025,SSE-AD-18416790,"65,000km",Petrol,1999,"Ferrari 360 Modena â Giallo Modena Yellow

The Ferrari 360 Modena represents the perfect blend of timeless Italian design and modern performance. With its sleek curves, mid-mounted V8, and unmistakable Ferrari styling, it was a major step forward.

Finished in a stunning Giallo Modena Yellow, this particular example presents beautifully and is a true head-turner. The car has undergone a high-quality repaint in its original factory colour to restore its shine (Before and after photos and videos available). It was originally sourced from Hong Kong.

Highlights:
- Good service history
- New tyres
- Immaculate interior condition
- Upgraded air suspension â adjust ride height with the touch of a button
- Carbon interior inlays
- Fully detailed inside and out
- 0â100 km/h in just 4.5 seconds

This 360 Modena drives exactly as youâd expect from a Ferrari, precise, engaging, and incredibly rewarding. A fantastic opportunity to own an iconic modern classic in one of Ferrariâs most desirable colours.","['https://carsales.pxcrush.net/carsales/cars/private/bdchf00vp7qwps5u5z6sz84o4.heic?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/d4h3snadb49etqepsvehl6xtd.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/1d68p6f8u2u8961fc2kekw1qs.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/2jd952y0chdsisfuimrivctp2.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$144,990",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spider F1 Convertible 2dr Seq. Mac 6sp 3.6i,Internal Combustion Engine (ICE),Not found,Silver,Black,Convertible,Automatic,"8 cylinders, Petrol Aspirated, 3.6L",Check with seller,Not found,Provided at pick-up by seller,11 Jun 2025,SSE-AD-13426542,"31,800km",Petrol,2002,"Reaches 0-100 km/h in 4.5 seconds!. 

Protect you and your family with these features:
2 airbags to give you added safety. Keep yourself at a safe distance with ABS brakes. Last but not least this unique ferrari 360 spider f1 convertible has driver airbag and passenger airbag. 

MORE FEATURES:
It has ventilated drilled/grooved front disc brakes. This Unique Ferrari 360 2002 Spider F1 has climate control air conditioning. This car comes with 18"" alloy wheels. In addition to all the foregoing this car has ventilated drilled/grooved rear disc brakes, 4 pot front brake calipers, 4 pot rear brake calipers, front power windows, power steering, leather steering wheel, power door mirrors and limited slip diff (LSD).","['https://carsales.pxcrush.net/carsales/cars/private/1pa0ki8mek52w9r6ivuyltbfr.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=900,600', 'https://carsales.pxcrush.net/carsales/cars/private/561gezexy5j3q7jx9h2bky38y.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/9i4ia42zod7zzkdk2in8zkee3.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300', 'https://carsales.pxcrush.net/carsales/cars/private/awc5xy0htb2j72o1vs1dzrdkn.jpg?pxc_method=gravityfill&pxc_bgtype=self&pxc_size=450,300']","$209,995",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,F1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
